"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"R9","SMD_0402_RESC1005X37N","28.04mm","16.46mm","28.04mm","16.46mm","28.04mm","16.02mm","T","90.00","10k"
"R10","SMD_0402_RESC1005X37N","27.5937mm","17.99mm","27.5937mm","17.99mm","28.0337mm","17.99mm","T","180.00","10k"
"J24","PTH_MIC_6MM_2.7MM_PITCH1.9","43.91mm","23.64mm","43.91mm","22.74mm","44.66mm","23.74mm","B","180.00","CON_2PINS"
"J5","PTH_HDRV02W11060P350_1X02","3.8mm","12.875mm","3.8mm","12.875mm","3.8mm","14.625mm","T","270.00","CON_13PINS"
"D1","SMD_0805_LED2012X100N","48.925mm","42.76mm","48.925mm","42.76mm","47.875mm","42.76mm","B","360.00","LED_CALL"
"Q2","SMD_SOT23_SOT95P240X120-3N","34.525mm","31.5mm","34.525mm","31.5mm","33.575mm","30.35mm","T","90.00","BC817"
"R16","SMD_0402_RESC1005X37N","44.42mm","50.78mm","44.42mm","50.78mm","44.42mm","51.22mm","T","270.00","0"
"Q3","PTH_TO220AB","12.125mm","37.325mm","11.775mm","37.325mm","12.125mm","34.775mm","T","90.00","AP9987GJ"
"J16","PTH_HDRV03W64P254_1X03","53.28mm","47.48mm","53.28mm","47.48mm","50.74mm","47.48mm","T","360.00","CON_3PINS"
"R12","SMD_0603_RESC1608X55N","47.925mm","37.725mm","47.925mm","37.725mm","47.925mm","36.925mm","B","90.00","10k"
"R15","SMD_0603_RESC1608X55N","49.425mm","37.725mm","49.425mm","37.725mm","49.425mm","38.525mm","B","270.00","10k"
"J8","PTH_MOUNT_HOLE","65mm","5mm","65mm","5mm","65mm","5mm","T","0.00","CON_1PIN"
"J9","PTH_MOUNT_HOLE","5mm","5mm","5mm","5mm","5mm","5mm","T","180.00","CON_1PIN"
"J10","PTH_MOUNT_HOLE","5mm","50mm","5mm","50mm","5mm","50mm","T","0.00","CON_1PIN"
"C7","SMD_0805_CAPC2012X95N","33.24mm","36.76mm","33.24mm","36.76mm","34.14mm","36.76mm","B","180.00","10uF"
"A4","SMD_CON_ANTENNA_SMA_RIGHT_ANGLE","65mm","50mm","65mm","50mm","65mm","50mm","T","360.00","SMA"
"A3","SMD_CON_ANTENNA_UFL","44.42mm","45.3mm","44.42mm","46.05mm","44.42mm","44.55mm","T","360.00","UFL"
"J20","PTH_HDRV03W11060P500_1X03","4.125mm","37.325mm","4.475mm","37.325mm","4.125mm","42.325mm","T","270.00","HDRV 3P"
"D2","SMD_0805_LED2012X100N","39.55mm","42.575mm","39.55mm","42.575mm","39.55mm","41.525mm","T","90.00","LED_NETWORK"
"C8","SMD_0603_CAPC1608X95N","33.24mm","40.17mm","33.24mm","40.17mm","34.04mm","40.17mm","B","180.00","100nF"
"J3","PTH_LED-KINGBRIGHT-L-934SGC","41.07mm","42.575mm","41.07mm","42.575mm","41.07mm","41.325mm","T","90.00","LED_YELLOW_GREEN"
"J2","PTH_LED-KINGBRIGHT-L-934SGC","48.09mm","45.58mm","48.09mm","45.58mm","48.09mm","44.33mm","T","90.00","LED_YELLOW_GREEN"
"U6","SMD_SOT26_SOT95P285X140-5N_-_DLV","31.9mm","36.725mm","31.9mm","36.725mm","33.2mm","35.775mm","T","180.00","MCP73811 450mA"
"U7","SMD_SOIC127P600X175-8N","19.1198mm","10.84mm","19.12mm","10.84mm","17.215mm","8.1401mm","T","90.00","34063"
"J7","PTH_HDRV02W64P254_1X02_BATTERY","33.3mm","42.1mm","33.3mm","42.1mm","32.03mm","42.1mm","T","360.00","DW02S"
"C5","SMD_0603_CAPC1608X95N","34mm","39.225mm","34mm","39.225mm","34.8mm","39.225mm","T","180.00","10uF"
"C20","SMD_1210_CAPC3225X279N","14.075mm","13.25mm","14.075mm","13.25mm","14.075mm","14.7mm","T","270.00","100uF"
"J13","SMD_CON-CVILUX-CU04-SCM15B0","31.82mm","4.35mm","31.82mm","4.55mm","30.22mm","7.15mm","T","360.00","ATTEND 207A-BBA0-R"
"J12","SMD_CON_MICRO_USB","31.82mm","2.8mm","31.82mm","4.125mm","30.52mm","4.125mm","T","270.00","ATTEND 207A-BBA0-R"
"C30","SMD_0603_CAPC1608X95N","42.8151mm","30.85mm","42.8151mm","30.85mm","42.0151mm","30.85mm","B","360.00","33pF"
"C31","SMD_0603_CAPC1608X95N","42.8151mm","29.35mm","42.8151mm","29.35mm","42.0151mm","29.35mm","B","360.00","10pF"
"C34","SMD_0603_CAPC1608X95N","45.9151mm","29.35mm","45.9151mm","29.35mm","45.1151mm","29.35mm","B","360.00","33pF"
"C35","SMD_0603_CAPC1608X95N","45.9151mm","30.85mm","45.9151mm","30.85mm","45.1151mm","30.85mm","B","360.00","10pF"
"C38","SMD_0603_CAPC1608X95N","49.0151mm","29.35mm","49.0151mm","29.35mm","48.2151mm","29.35mm","B","360.00","33pF"
"C39","SMD_0603_CAPC1608X95N","49.0151mm","30.85mm","49.0151mm","30.85mm","48.2151mm","30.85mm","B","360.00","10pF"
"Q4","SMD_SOT23_SOT95P240X120-3N","38.025mm","31.5mm","38.025mm","31.5mm","38.975mm","32.65mm","T","270.00","BC817"
"SW1","SMD_SW_TACT-64K_5","51.77mm","28.36mm","51.77mm","28.36mm","54.02mm","32.36mm","B","180.00","DTSM-62N"
"R14","SMD_0603_RESC1608X55N","35.25mm","36.1mm","35.25mm","36.1mm","35.25mm","35.3mm","T","90.00","0"
"J11","PTH_HDRV02W64P254_1X02","37.7999mm","36.575mm","37.7999mm","36.575mm","37.7999mm","37.845mm","T","270.00","CON_2PINS"
"Q1","SMD_SOT23_SOT95P240X120-3N","44.05mm","21.57mm","44.05mm","21.57mm","42.9mm","22.52mm","T","360.00","DTC114YKA"
"C6","SMD_0603_CAPC1608X95N","30.875mm","34.225mm","30.875mm","34.225mm","30.075mm","34.225mm","T","360.00","10uF"
"C23","SMD_1210_CAPC3225X279N","23.2mm","21.8mm","23.2mm","21.8mm","23.2mm","23.25mm","T","270.00","10uF/50V"
"C26","SMD_0603_CAPC1608X95N","20.57mm","6.33mm","20.57mm","6.33mm","19.77mm","6.33mm","T","360.00","1nF"
"C21","PTH_CAPPR250-800X800","29.125mm","25.2mm","29.125mm","25.2mm","29.125mm","23.95mm","T","90.00","470uF"
"C25","PTH_CAPPR250-800X800","20.6mm","21.8mm","20.6mm","21.8mm","20.6mm","20.55mm","T","90.00","100uF"
"D4","SMD_DO214AC_SMA","19.8mm","27.325mm","19.8mm","27.325mm","21.8mm","27.325mm","T","180.00","SS14"
"D5","SMD_DO214AC_SMA","19.8mm","2.775mm","19.8mm","2.775mm","17.8mm","2.775mm","T","360.00","SS14"
"L2","SMD_INDM600500","11.85mm","4.775mm","11.85mm","4.775mm","11.85mm","2.775mm","T","90.00","220uH"
"C27","SMD_0603_CAPC1608X95N","37.8mm","42.125mm","37.8mm","42.125mm","37.8mm","42.925mm","T","270.00","10uF"
"C22","PTH_CAPPR250-800X800","11.85mm","13.25mm","11.85mm","13.25mm","11.85mm","12mm","T","90.00","22uF"
"L3","PTH_CAPPR250-800X800","11.85mm","4.775mm","11.85mm","4.775mm","11.85mm","3.525mm","T","90.00","220uH"
"A2","SMD_CON_ANTENNA_UFL","53.42mm","39.93mm","53.42mm","39.18mm","53.42mm","40.68mm","B","360.00","UFL"
"A1","SMD_CON_ANTENNA_UFL","44.425mm","42.175mm","44.425mm","41.425mm","44.425mm","42.925mm","B","360.00","ANTENNA_UFL"
"A6","SMD_CON_ANTENNA_UFL","58.61mm","25.65mm","59.36mm","25.65mm","57.86mm","25.65mm","B","90.00","ANTENNA_UFL"
"C13","SMD_0402_CAPC1005X90N","39.02mm","28.84mm","39.02mm","28.84mm","39.02mm","29.29mm","T","270.00","10uF"
"C40","SMD_0603_CAPC1608X95N","47.025mm","20.475mm","47.025mm","20.475mm","46.225mm","20.475mm","B","360.00","33pF"
"C19","SMD_0402_CAPC1005X90N","44.62mm","13.65mm","44.62mm","13.65mm","45.07mm","13.65mm","T","180.00","100nF"
"C15","SMD_0402_CAPC1005X90N","47.5mm","33.6899mm","47.5mm","33.6899mm","47.5mm","34.1399mm","B","270.00","10pF"
"C16","SMD_0402_CAPC1005X90N","45.04mm","33.17mm","45.04mm","33.17mm","45.49mm","33.17mm","B","180.00","10uF"
"C17","SMD_0402_CAPC1005X90N","45.04mm","34.18mm","45.04mm","34.18mm","45.49mm","34.18mm","B","180.00","100nF"
"C11","SMD_0402_CAPC1005X90N_-_ANTENNA","68.83mm","33.515mm","68.83mm","33.51mm","68.83mm","33.94mm","T","270.00","15pF"
"C12","SMD_0201_CAPC0603X33N_-_ANTENNA","68.83mm","23.365mm","68.83mm","23.36mm","68.83mm","23.64mm","T","270.00","2.2pF"
"C14","SMD_0402_CAPC1005X90N","46.495mm","33.69mm","46.495mm","33.69mm","46.495mm","34.14mm","B","270.00","33pF"
"C18","SMD_0402_CAPC1005X90N","39.4mm","0.91mm","39.4mm","0.91mm","39.85mm","0.91mm","T","180.00","10uF"
"C3","SMD_0402_CAPC1005X90N","62.16mm","38.03mm","62.16mm","38.03mm","61.71mm","38.03mm","T","360.00","10uF"
"C37","SMD_0603_CAPC1608X95N","43.925mm","21.975mm","43.925mm","21.975mm","43.125mm","21.975mm","B","360.00","10pF"
"C41","SMD_0603_CAPC1608X95N","47.025mm","21.975mm","47.025mm","21.975mm","46.225mm","21.975mm","B","360.00","10pF"
"J14","SMD_CON-ATTEND_MICRO_SIM_115Q-BCA0","50.565mm","34.97mm","42.69mm","34.97mm","58.44mm","38.54mm","B","90.00","CON_13PINS"
"J17","PTH_MIC_6MM_2.7MM_PITCH1.9","45.91mm","27.81mm","45.91mm","26.91mm","46.66mm","27.91mm","B","180.00","CON_2PINS"
"J19","SIP5_-_PGM","33.85mm","14.89mm","33.85mm","14.89mm","33.85mm","9.815mm","T","90.00","CON_5PINS"
"L1","SMD_0402_INDC1005X55N_-_ANTENNA","63.26mm","26.155mm","63.26mm","26.15mm","63.26mm","26.58mm","T","270.00","1.5nH"
"R8","SMD_0402_RESC1005X37N","33.31mm","34.05mm","33.31mm","34.05mm","32.87mm","34.05mm","T","360.00","0"
"R17","SMD_0402_RESC1005X37N","34.3mm","16.2286mm","34.3mm","16.2286mm","33.86mm","16.2286mm","T","360.00","0"
"R18","SMD_0402_RESC1005X37N","35.07mm","14.81mm","35.07mm","14.81mm","35.07mm","14.37mm","T","90.00","0"
"R7","SMD_0402_RESC1005X37N","65.98mm","40.63mm","65.98mm","40.63mm","65.98mm","41.07mm","T","270.00","0"
"U4","SMD_SOT26_SOT95P285X140-5N_-_DLV","63.63mm","41.5mm","63.63mm","41.5mm","64.58mm","42.8mm","T","270.00","BU33TD3WG"
"U1","SMD_MOD_L76_SOIC110P970X1010-18N","51.85mm","16.95mm","51.85mm","16.95mm","47mm","21.35mm","T","360.00","QUECTEL_L76"
"U3","SMD_MOD_L80_SOIC254P1600X1600-12N","46.7901mm","9.835mm","46.7901mm","10.335mm","39.2901mm","16.185mm","T","0.00","QUECTEL_L80 / L86"
"U2","SMD_SOIC127P600X175-14N","33.81mm","14.18mm","33.81mm","14.18mm","36.51mm","10.37mm","T","180.00","IC_PIC16F1454TESL-SO14"
"C4","SMD_0402_CAPC1005X90N","28.47mm","14.16mm","28.47mm","14.16mm","28.92mm","14.16mm","T","180.00","10uF"
"C1","SMD_0402_CAPC1005X90N","36.07mm","9.04mm","36.07mm","9.04mm","36.52mm","9.04mm","T","180.00","10uF"
"D3","SMD_SOT23_SOT95P240X120-3N","31.02mm","31.5mm","31.02mm","31.5mm","30.07mm","30.35mm","T","90.00","D_A1C3"
"R4","SMD_0402_RESC1005X37N","34.19mm","34.05mm","34.19mm","34.05mm","34.63mm","34.05mm","T","180.00","0"
"C2","SMD_0603_CAPC1608X95N","46.2356mm","7.15mm","46.2356mm","7.15mm","45.4356mm","7.15mm","B","360.00","1uF"
"C24","SMD_CAPAE660X550N","20.6mm","21.8mm","20.6mm","21.8mm","20.6mm","19.2mm","T","90.00","100uF"
"C28","PTH_CAPPR250-800X800","38.025mm","23.575mm","38.025mm","23.575mm","38.025mm","22.325mm","T","90.00","470uF"
"C29","SMD_CAPAE660X550N","38.025mm","23.575mm","38.025mm","23.575mm","38.025mm","20.975mm","T","90.00","220uF"
"C32","SMD_0603_CAPC1608X95N","40.825mm","20.475mm","40.825mm","20.475mm","40.025mm","20.475mm","B","360.00","33pF"
"C33","SMD_0603_CAPC1608X95N","40.825mm","21.975mm","40.825mm","21.975mm","40.025mm","21.975mm","B","360.00","10pF"
"C36","SMD_0603_CAPC1608X95N","43.925mm","20.475mm","43.925mm","20.475mm","43.125mm","20.475mm","B","360.00","33pF"
"J4","SMD_CON-ATTEND_SIM_115B-AAA0-R01","37.37mm","10.97mm","45.27mm","4.97mm","24.77mm","7.16mm","T","360.00","GSM SIMH"
"J15","PTH_MIC_9.6MM_6MM","43.925mm","18.25mm","43.925mm","19.05mm","45.195mm","18.25mm","T","180.00","LD-MC-9765"
"J21","PTH_DC-POWER-JACK_210-112","11.375mm","21.6499mm","11.375mm","24.1499mm","14.375mm","24.1499mm","T","360.00","CON_3PINS"
"J22","PTH_HDRV02W11060P350_1X02","3.975mm","23.175mm","3.975mm","23.175mm","3.975mm","24.925mm","T","270.00","CON_2PINS"
"J23","PTH_HDRV02W64P254_1X02","27.325mm","19.85mm","27.325mm","19.85mm","28.595mm","19.85mm","T","180.00","CON_2PINS"
"R20","SMD_0603_RESC1608X55N","24.125mm","27.35mm","24.125mm","27.35mm","24.125mm","28.15mm","T","270.00","0"
"R22","SMD_0603_RESC1608X55N","22.62mm","12.7401mm","22.62mm","12.7401mm","22.62mm","13.5401mm","T","270.00","3k6"
"R23","SMD_0603_RESC1608X55N","30.95mm","39.25mm","30.95mm","39.25mm","31.75mm","39.25mm","T","180.00","1R"
"R24","SMD_0603_RESC1608X55N","22.62mm","8.9401mm","22.62mm","8.9401mm","22.62mm","9.7401mm","T","270.00","1k2"
"U5","SMD_MOD_MC60_54_PIN","50.42mm","33.54mm","50.42mm","33.54mm","43.42mm","25.64mm","T","90.00","MOD_QUECTEL_MC60"
"C9","SMD_0603_CAPC1608X95N","33.25mm","38.65mm","33.25mm","38.65mm","34.05mm","38.65mm","B","180.00","10pF"
"C10","SMD_1210_CAPC3225X279N","37.6mm","42.52mm","37.6mm","42.52mm","37.6mm","41.07mm","B","90.00","22uF"
"J1","PTH_HDRV02W64P254_1X02","49.52mm","21.325mm","49.52mm","21.325mm","49.52mm","20.055mm","T","90.00","CON_2PINS"
"K1","PTH_REL_RAS","20.225mm","37.325mm","19.225mm","37.325mm","25.375mm","43.325mm","T","360.00","RELAY_SPDT"
"R1","SMD_0603_RESC1608X55N","45.18mm","36.76mm","45.18mm","36.76mm","45.18mm","35.96mm","B","90.00","10k"
"R2","SMD_0603_RESC1608X55N","34.96mm","28.75mm","34.96mm","28.75mm","34.16mm","28.75mm","T","360.00","10k"
"R3","SMD_0603_RESC1608X55N","42.18mm","36.76mm","42.18mm","36.76mm","42.18mm","37.56mm","B","270.00","0"
"R5","SMD_0603_RESC1608X55N","36.56mm","28.75mm","36.56mm","28.75mm","35.76mm","28.75mm","T","360.00","10k"
"R6","SMD_0603_RESC1608X55N","43.68mm","36.76mm","43.68mm","36.76mm","43.68mm","37.56mm","B","270.00","10k"
"R21","SMD_0805_RESC2012X60N","18.78mm","15.68mm","18.78mm","15.68mm","17.78mm","15.68mm","T","360.00","1R"
"A8","SMD_CHIP_ANTENNA_GPS_BT","66.045mm","28.515mm","68.14mm","25.65mm","68.14mm","26.325mm","T","270.00","ANTENNA_GPS_BT"
"A5","SMD_CON_ANTENNA_GSM_PCB_1_INV","44.425mm","49.55mm","45.05mm","51.3mm","43.025mm","51.3mm","T","360.00","PCB"
"A7","SMD_CON_ANTENNA_SMA_RIGHT_ANGLE","65.175mm","19.995mm","65.175mm","18.725mm","65.175mm","18.725mm","T","360.00","SMA"
"R19","SMD_0402_RESC1005X37N","61.075mm","25.65mm","61.075mm","25.65mm","60.635mm","25.65mm","T","0.00","0"
"A9","SMD_CON_ANTENNA_SMA_RIGHT_ANGLE","65.175mm","13.645mm","65.175mm","13.645mm","65.175mm","13.645mm","T","360.00","SMA"
"A10","SMD_CON_ANTENNA_UFL","59.445mm","13.645mm","60.195mm","13.645mm","58.695mm","13.645mm","T","270.00","ANTENNA_UFL"
"R11","SMD_0603_RESC1608X55N","27.93mm","34.05mm","27.93mm","34.05mm","27.93mm","33.25mm","T","90.00","10k"
"R13","SMD_0603_RESC1608X55N","26.43mm","34.05mm","26.43mm","34.05mm","26.43mm","34.85mm","T","270.00","10k"

